OU_Principal,OU_Service,Affectation_Groupe,Groupe
Service_Juridique,Contrats,GRP_U_Contrats,GRP_U_Juriste_CTR
Service_Juridique,Contrats,GRP_U_Contrats,GRP_U_Responsable_Juridique
Service_Juridique,Contentieux,GRP_U_Service_Juridique,GRP_U_Contentieux
Service_Juridique,Contentieux,GRP_U_Contentieux,GRP_U_Juriste_CTX
Ventes_Developpement_Commercial,NA,NA,GRP_U_Ventes_Developpement_Commercial
Ventes_Developpement_Commercial,ADV,GRP_U_Ventes_Developpement_Commercial,GRP_U_ADV
Ventes_Developpement_Commercial,ADV,GRP_U_ADV,GRP_U_Gestionnaire_ADV
Ventes_Developpement_Commercial,ADV,GRP_U_ADV,GRP_U_Responsable_ADV
Ventes_Developpement_Commercial,B2B,GRP_U_Ventes_Developpement_Commercial,GRP_U_B2B
Ventes_Developpement_Commercial,B2B,GRP_U_B2B,GRP_U_Commercial_B2B
Ventes_Developpement_Commercial,B2B,GRP_U_B2B,GRP_U_Responsable_B2B
Ventes_Developpement_Commercial,B2C,GRP_U_Ventes_Developpement_Commercial,GRP_U_B2C
Ventes_Developpement_Commercial,B2C,GRP_U_B2C,GRP_U_Commercial_B2C
Ventes_Developpement_Commercial,B2C,GRP_U_B2C,GRP_U_Responsable_B2C
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Ventes_Developpement_Commercial,GRP_U_Developpement_Internationnal
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Developpement_Internationnal,GRP_U_Commercial_DI
Ventes_Developpement_Commercial,Developpement_Internationnal,GRP_U_Developpement_Internationnal,GRP_U_Direction_Commercial_DI
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Ventes_Developpement_Commercial,GRP_U_Grands_Comptes
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Grands_Comptes,GRP_U_Commercial_GC
Ventes_Developpement_Commercial,Grands_Comptes,GRP_U_Grands_Comptes,GRP_U_Responsable_Grands_Comptes
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Ventes_Developpement_Commercial,GRP_U_Service_Achat
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Service_Achat,GRP_U_Acheteur
Ventes_Developpement_Commercial,Service_Achat,GRP_U_Service_Achat,GRP_U_Responsable_achat
Ventes_Developpement_Commercial,Service_Client,GRP_U_Ventes_Developpement_Commercial,GRP_U_Service_Client
Ventes_Developpement_Commercial,Service_Client,GRP_U_Service_Client,GRP_U_Agent_Client
Ventes_Developpement_Commercial,Service_Client,GRP_U_Service_Client,GRP_U_Responsable_Service_Client
